State: add1, Head: 19, Tape: BBBBBBBBBBBBBBBBBBBB+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 20, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 21, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 22, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 23, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 24, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 25, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 26, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 27, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 28, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 29, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 30, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 31, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 32, Tape: BBBBBBBBBBBBBBBBBBBI+10100101011c*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 31, Tape: BBBBBBBBBBBBBBBBBBBI+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 30, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 29, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 28, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 27, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 26, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 25, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 24, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 23, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 22, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 21, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 20, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 19, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 18, Tape: BBBBBBBBBBBBBBBBBBBI+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 19, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 20, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 21, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 22, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 23, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 24, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 25, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 26, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 27, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 28, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 29, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 30, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 31, Tape: BBBBBBBBBBBBBBBBBBII+1010010101c1*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 30, Tape: BBBBBBBBBBBBBBBBBBII+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 29, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 28, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 27, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 26, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 25, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 24, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 23, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 22, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 21, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 20, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 19, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 18, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add1, Head: 17, Tape: BBBBBBBBBBBBBBBBBBII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 18, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
