State: have1, Head: 13, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBBBBBBIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 8, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 9, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBBBBBIIII+10c111*10100BBBBBBBBBBBBB
State: read, Head: 13, Tape: BBBBBBBIIII+101111*10100BBBBBBBBBBBBB
State: have0, Head: 12, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: have0, Head: 11, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: add0, Head: 10, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: add0, Head: 9, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: add0, Head: 8, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: add0, Head: 7, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: add0, Head: 6, Tape: BBBBBBBIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 7, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 8, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 9, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 10, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 11, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 12, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: back0, Head: 13, Tape: BBBBBBOIIII+1c1111*10100BBBBBBBBBBBBB
State: read, Head: 12, Tape: BBBBBBOIIII+101111*10100BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 6, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: add1, Head: 5, Tape: BBBBBBOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 6, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 7, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 8, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 9, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBBBIOIIII+c01111*10100BBBBBBBBBBBBB
State: read, Head: 11, Tape: BBBBBIOIIII+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 10, Tape: BBBBBIOIIII+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 9, Tape: BBBBBIOIII1+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 8, Tape: BBBBBIOII11+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 7, Tape: BBBBBIOI111+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 6, Tape: BBBBBIO1111+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 5, Tape: BBBBBI01111+101111*10100BBBBBBBBBBBBB
State: rewrite, Head: 4, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 5, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 6, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 7, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 8, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 9, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 10, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 11, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 12, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 13, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 14, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 15, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 16, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 17, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: double, Head: 18, Tape: BBBBB101111+101111*10100BBBBBBBBBBBBB
State: shift, Head: 19, Tape: BBBBB101111+101111010100BBBBBBBBBBBBB
State: shift1, Head: 20, Tape: BBBBB101111+1011110*0100BBBBBBBBBBBBB
State: shift0, Head: 21, Tape: BBBBB101111+1011110*1100BBBBBBBBBBBBB
State: shift1, Head: 22, Tape: BBBBB101111+1011110*1000BBBBBBBBBBBBB
State: shift0, Head: 23, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: shift0, Head: 24, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: right, Head: 25, Tape: BBBBB101111+1011110*10100BBBBBBBBBBBB
State: readB, Head: 24, Tape: BBBBB101111+1011110*10100BBBBBBBBBBBB
State: doubleL, Head: 23, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: doubleL, Head: 22, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: doubleL, Head: 21, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: doubleL, Head: 20, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: doubleL, Head: 19, Tape: BBBBB101111+1011110*1010BBBBBBBBBBBBB
State: shift, Head: 20, Tape: BBBBB101111+101111001010BBBBBBBBBBBBB
State: shift1, Head: 21, Tape: BBBBB101111+10111100*010BBBBBBBBBBBBB
State: shift0, Head: 22, Tape: BBBBB101111+10111100*110BBBBBBBBBBBBB
State: shift1, Head: 23, Tape: BBBBB101111+10111100*100BBBBBBBBBBBBB
State: shift0, Head: 24, Tape: BBBBB101111+10111100*101BBBBBBBBBBBBB
State: right, Head: 25, Tape: BBBBB101111+10111100*1010BBBBBBBBBBBB
State: readB, Head: 24, Tape: BBBBB101111+10111100*1010BBBBBBBBBBBB
State: doubleL, Head: 23, Tape: BBBBB101111+10111100*101BBBBBBBBBBBBB
State: doubleL, Head: 22, Tape: BBBBB101111+10111100*101BBBBBBBBBBBBB
State: doubleL, Head: 21, Tape: BBBBB101111+10111100*101BBBBBBBBBBBBB
State: doubleL, Head: 20, Tape: BBBBB101111+10111100*101BBBBBBBBBBBBB
State: shift, Head: 21, Tape: BBBBB101111+101111000101BBBBBBBBBBBBB
State: shift1, Head: 22, Tape: BBBBB101111+101111000*01BBBBBBBBBBBBB
State: shift0, Head: 23, Tape: BBBBB101111+101111000*11BBBBBBBBBBBBB
State: shift1, Head: 24, Tape: BBBBB101111+101111000*10BBBBBBBBBBBBB
State: right, Head: 25, Tape: BBBBB101111+101111000*101BBBBBBBBBBBB
State: readB, Head: 24, Tape: BBBBB101111+101111000*101BBBBBBBBBBBB
State: addA, Head: 23, Tape: BBBBB101111+101111000*10BBBBBBBBBBBBB
State: addA, Head: 22, Tape: BBBBB101111+101111000*10BBBBBBBBBBBBB
State: addA, Head: 21, Tape: BBBBB101111+101111000*10BBBBBBBBBBBBB
State: read, Head: 20, Tape: BBBBB101111+101111000*10BBBBBBBBBBBBB
State: have0, Head: 19, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 18, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 17, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 16, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 15, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 14, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 13, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 12, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: have0, Head: 11, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: add0, Head: 10, Tape: BBBBB101111+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 11, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 12, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 13, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 14, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 15, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 16, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 17, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 18, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 19, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: back0, Head: 20, Tape: BBBBB10111I+10111100c*10BBBBBBBBBBBBB
State: read, Head: 19, Tape: BBBBB10111I+101111000*10BBBBBBBBBBBBB
State: have0, Head: 18, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 17, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 16, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 15, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 14, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 13, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 12, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: have0, Head: 11, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: add0, Head: 10, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: add0, Head: 9, Tape: BBBBB10111I+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 10, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
